gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name,symbol,gene_biotype
ENSG00000152583,997.957712028395,4.549265316484374,0.18560493290528787,7.671906718842162e-136,7.404298270997936e-132,SPARCL1,SPARCL1,protein_coding
ENSG00000165995,495.6668203140097,3.269830081292229,0.13246072897849717,1.0410993069457167e-135,7.404298270997936e-132,CACNB2,CACNB2,protein_coding
ENSG00000101347,12714.666742491208,3.746931683590577,0.15718420832371258,1.307760060091047e-128,6.200526364911683e-125,SAMHD1,SAMHD1,protein_coding
ENSG00000120129,3413.120273732279,2.92768421025009,0.12251982582405417,3.3239787617727965e-128,1.1820068476864065e-124,DUSP1,DUSP1,protein_coding
ENSG00000189221,2343.870393156165,3.3296851744376093,0.1428300896079991,7.456851491567473e-123,2.1213251123211147e-119,MAOA,MAOA,protein_coding
ENSG00000211445,12298.968822844334,3.711809203456135,0.1686995837949031,2.6579596316236138e-110,6.301136300035714e-107,GPX3,GPX3,protein_coding
ENSG00000157214,3014.967657453084,1.958755578703462,0.09044429043515595,2.8880573492616337e-105,5.868532533699639e-102,STEAP2,STEAP2,protein_coding
ENSG00000162614,5402.821895568349,2.017222432076968,0.09573172701539263,5.414603061909155e-100,9.627164244074478e-97,NEXN,NEXN,protein_coding
ENSG00000125148,3661.68861011813,2.19063229004517,0.10712278058121318,1.7702499190781824e-94,2.7977816498853406e-91,MT2A,MT2A,protein_coding
ENSG00000154734,30365.003303036436,2.3237746629655542,0.11811699218975098,5.83501151522482e-88,8.299720379255784e-85,ADAMTS1,ADAMTS1,protein_coding
ENSG00000139132,1225.3708041120974,2.2067946294319305,0.11277590139284686,9.516978590598346e-87,1.2306318497515533e-83,FGD4,FGD4,protein_coding
ENSG00000162493,1101.5091439414273,1.870437963342497,0.0961653722231661,1.4916770770120235e-85,1.7681345619515852e-82,PDPN,PDPN,protein_coding
ENSG00000162692,511.59531615699933,-3.684386463025284,0.19160425539656012,8.472967392211786e-85,9.270729860524649e-82,VCAM1,VCAM1,protein_coding
ENSG00000179094,777.2657804991429,3.1652135480275883,0.16457062519112622,1.1029685195851911e-84,1.120616015898554e-81,PER1,PER1,protein_coding
ENSG00000134243,5520.114862831,2.1726734811995545,0.11309077205677535,5.935472413821911e-84,5.628410640946858e-81,SORT1,SORT1,protein_coding
ENSG00000163884,561.4178521064563,4.424737920619514,0.2362157403366546,7.6146144861327385e-81,6.7693922781720045e-78,KLF15,KLF15,protein_coding
ENSG00000178695,2666.699843459713,-2.5239618042371816,0.13689676924192204,6.222639026382098e-78,5.20651867713288e-75,KCTD12,KCTD12,protein_coding
ENSG00000107562,25275.222688097023,-1.910864720549508,0.10668098763303636,3.013640824411175e-73,2.3814459492458084e-70,CXCL12,CXCL12,protein_coding
ENSG00000148848,1373.0485699533676,-1.8136270662736906,0.1012025313141117,3.4756896883028205e-73,2.6020110592852275e-70,ADAM12,ADAM12,protein_coding
ENSG00000146250,315.86962597262755,-2.750057537358197,0.1535612452658574,6.266000641868763e-73,4.4563796564970646e-70,PRSS35,PRSS35,protein_coding
ENSG00000198624,2059.7057549286246,2.8883195389918996,0.16433239962150326,1.1430915528369598e-71,7.742540117882341e-69,CCDC69,CCDC69,protein_coding
ENSG00000106976,889.90785418746,-1.7563554217384099,0.09970291471473516,1.3566173626042958e-70,8.7711478934925e-68,DNM1,DNM1,protein_coding
ENSG00000163394,1226.0312877663184,-2.184390428538561,0.1262660771261423,1.5649209723894512e-68,9.67801561359459e-66,CCKAR,CCKAR,protein_coding
ENSG00000154930,671.4001212880555,1.8763379429223284,0.10880273692481637,7.225089089593761e-68,4.282069467099236e-65,ACSS1,ACSS1,protein_coding
ENSG00000253368,1042.1203403893016,1.9653218126166734,0.11508719574465433,8.663924322966422e-67,4.929426382794976e-64,TRNP1,TRNP1,protein_coding
ENSG00000162616,1470.833082808627,1.4987775411859416,0.0883508067731281,9.999264737333649e-66,5.47036698553207e-63,DNAJB4,DNAJB4,protein_coding
ENSG00000124766,1289.1552400981589,-2.405794231243962,0.1428749983495134,1.4416076924540418e-65,7.594602895357885e-63,SOX4,SOX4,protein_coding
