gene_id,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
ENSG00000000003,666.6780068756021,499.72250043557045,748.0862223819719,609.8508268382628,970.4878133944726,748.104963640258,844.5836432148452,605.6914104939385
ENSG00000000419,458.52522711473665,574.4577850989258,532.1438076737737,545.5773328332499,500.5943290532121,570.903405872556,457.3914015851824,537.9217421869243
ENSG00000000457,255.2817110274765,235.36037408907447,225.3684724930797,245.13611667028215,208.93630428967117,236.50691782705385,255.56881671306354,242.4883444110348
ENSG00000000460,58.911164083263806,61.34986054454548,34.27657376320604,52.31563465524314,66.51849687589531,45.014911852279134,83.36150244717953,63.534064037825715
ENSG00000000971,3192.003240578177,4103.747944425142,5293.159903383093,6355.602244402681,5731.677147472979,7879.0386189695555,5677.357061402648,8465.914033040277
ENSG00000001036,1406.994968855284,1184.610034514678,1485.0325582909018,1316.859260893406,1214.3889686060886,1028.1977484988838,1490.6352871804866,1174.3212836324785
ENSG00000001084,509.58156932023195,423.87176376231423,509.86403472768984,736.9030824295677,699.2970184388994,510.1690009924969,763.4158645162756,745.4663513771551
ENSG00000001167,386.849977480099,263.24667433659516,397.60825565319004,261.5781732762157,561.1432172351168,417.28108764652404,394.8702747497978,284.84438710291863
ENSG00000001460,168.87867037202292,187.3959376633389,226.22538683715987,176.37842540910543,205.52509932167652,150.04970617426378,170.01359051727403,187.42548891158586
ENSG00000001461,2073.6729757308863,2082.548902484844,4401.9689855397355,3971.5040365423147,2332.411396866329,1965.6511508828555,2705.9582439104197,3076.1076004980614
ENSG00000001497,514.4908329938372,544.3405808316035,546.7113515231364,533.61947348348,576.4936395910927,575.9050627450315,540.7529040323619,502.97800696612023
ENSG00000001561,69.7115441651955,56.888052504942166,180.80892660091186,233.17825732051227,19.61442856596913,27.15185159343821,146.97949115686916,182.13098357510037
ENSG00000001617,544.9282677701902,439.4880919009258,775.5074813925366,620.3139537693115,619.9865029330242,498.022120016485,677.8606383204861,634.28173931096
ENSG00000001629,1629.8755396369654,1395.4304643859343,1935.7695032770612,1612.81627980021,2099.5966578006955,1796.3093396290435,2070.8752186878282,1757.775771713178
ENSG00000001630,57.92931134854275,60.23440853464465,56.55634670928997,34.37884563058835,71.63530432788725,62.16344970076642,34.002718103454804,62.475162970528615
ENSG00000001631,715.7706436116553,771.8927908513722,808.0702264675824,709.9978988925855,881.7964842266122,830.9895632412799,801.8060301169504,787.8223940690389
ENSG00000002016,197.35239967893375,179.5877735940331,219.37007208451865,147.978509453402,228.5507328556403,183.6322594608847,175.497899888799,145.06944621970206
ENSG00000002330,202.26166335253907,194.08864972274387,157.67223931074778,165.91529847805683,165.44344094773962,185.77582669194564,171.11045239157903,187.42548891158586
ENSG00000002549,1432.5231399580316,1443.39490081167,1128.556191153559,1491.74295388379,1237.4146021400525,1303.288876485034,935.6231787821597,1091.7270003833053
ENSG00000002586,7370.768479551023,8034.600827315656,8141.543183105515,9288.267249933739,9357.788028451272,9190.901764378834,7495.954049000327,7650.560211221513
ENSG00000002746,148.2597629428806,155.04782937621493,100.25897825737766,97.15760721688011,76.7521117798792,72.88128585607097,94.33012119022946,126.00922700835433
ENSG00000002822,403.54147397035706,337.98195899995056,382.1837974597473,291.47282165064036,379.49655268940273,373.6952206149522,323.57425291997316,317.6703201891286
ENSG00000002834,6199.418167028794,7098.736591008862,6710.496228491663,8682.90062035164,5694.153892825038,8552.833251933036,6324.505567242594,8285.90085159977
ENSG00000002919,229.75353992472884,274.40119443560343,255.360474535885,315.38854035018005,185.05786951370874,268.66042629296754,201.82258487211885,280.60878283373023
ENSG00000002933,1231.2433293402137,1682.1016309304468,544.997522834976,644.2296724688513,21.320031049966445,19.2921050795482,76.78033120134957,115.42021633538337
ENSG00000003056,1167.4229015833446,1056.333053376083,1084.8535596054712,1035.849566173814,1098.4079996942712,1111.0823480999056,1049.696813709879,951.9520595000886
ENSG00000003096,540.0190040965849,351.3673831187605,477.30128965264413,255.59924360133076,442.6038445973034,202.92436454043292,531.978009037922,237.19383907454932
ENSG00000003137,121.74973910541188,63.58076456434713,219.37007208451865,94.16814237943765,25.584037259959736,32.15350846591367,212.7912036151688,72.00527257620247
ENSG00000003249,79.53007151240614,79.19709270295871,177.38126922459125,119.5785934976986,92.9553353778537,80.02650995960735,171.11045239157903,135.5393366140282
ENSG00000003393,755.0447530004978,806.4718031582978,677.8192461673995,807.1555061094656,950.8733848285035,1078.2143172236383,842.3899194662353,914.8905221446903
ENSG00000003400,96.22156800266423,65.81166858414879,113.96960776266009,107.62073414792874,49.462472035922154,35.01159810732822,105.2987399332794,70.94637150890539
ENSG00000003402,1398.1582942427945,2919.137909910464,1492.744787387623,3533.547437856994,1997.2605087608565,3714.0874890182054,1384.2396853729022,3982.526914104375
ENSG00000003436,4293.6420089352105,4665.935757415159,4964.961709600395,4827.985712469581,6262.972321238143,3559.0361259714664,3786.3671901008383,3538.847366906892
ENSG00000003509,281.7917348649452,312.3265627722315,305.9184208366139,285.4938919757554,329.1812794114819,282.9508745000403,275.3123304505534,262.6074646896796
ENSG00000003756,2325.0272758194783,1949.8101133066452,2308.527242951927,1983.5099196430756,2257.364887570447,1800.5964740911654,2189.3363011127676,2195.1019125068783
ENSG00000003987,16.69149649025808,27.886300247520673,21.422858602003775,43.347240142915744,17.056024839973155,36.44064292803549,13.162342491659926,28.59032881702157
ENSG00000004059,1070.2194808459592,1456.7803249304798,976.8823522513721,1221.196386095247,1137.6368568262096,1419.0415069623232,1127.5740067855336,1426.3397376491873
ENSG00000004139,84.43933518601146,92.58251682176864,88.26217744025556,76.23135335478285,98.07214282984565,70.73771862501007,89.94267369300948,81.53538218187633
ENSG00000004142,1468.851691142711,1723.3733552967774,1377.0613509368027,1440.9220516472683,1495.8133784656459,1644.116066223719,1242.744503587558,1329.9797405251516
ENSG00000004399,4003.013599457776,4751.825562177522,3128.5942702366315,2464.8137584713127,4594.04029064677,4281.418282838993,2981.270574360973,2974.4530980375403
ENSG00000004455,1185.0962508083237,1239.2671829998187,1272.5178009590243,1146.4597651591853,1276.6434592719907,1624.8239611441707,1115.5085261681786,975.2478829806247
ENSG00000004478,492.89007282997386,514.2233765642811,472.1598035881632,420.01980966066634,521.9143601031785,470.8702684230468,438.7447497219975,415.0892183804613
ENSG00000004487,1384.4123559566995,1103.1820377919178,1278.5162013675854,1086.670468410336,1456.5845213337075,1153.2391703107703,1385.3365472472071,1095.9626046524936
ENSG00000004534,1180.1869871347183,1132.1837900493392,1589.5761082686802,1373.6590928048126,1467.67093747969,1224.691411346134,1284.4252548111476,1072.6667811719574
ENSG00000004660,93.27600979850104,61.34986054454548,50.55794630072891,52.31563465524314,74.19370805388323,56.447270417937325,168.91672864296905,70.94637150890539
ENSG00000004700,922.9415706377997,1222.5354028513061,1021.44189814354,1144.965032740464,809.3083786567263,1037.486539833481,890.6518419356549,1262.2100722181376
